canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44244,nM,60.0,uM,0.06
Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44313,nM,1020.0,uM,1.02
Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44362,nM,1440.0,uM,1.44
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,CHEMBL42085,nM,80.0,uM,0.08
Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,CHEMBL143776,nM,0.08,nM,0.08
CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL297820,nM,2870.0,uM,2.87
Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44283,nM,50.0,uM,0.05
Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44038,nM,140.0,uM,0.14
CC(=O)OCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,CHEMBL294971,nM,470.0,uM,0.47
CN(C)S(=O)(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(F)cc2)cc1,CHEMBL43755,nM,7500.0,uM,7.5
CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL91832,nM,5.0,uM,0.005
C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,CHEMBL91118,nM,1.2,uM,0.0012
C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,CHEMBL92443,nM,2.2,uM,0.0022
CCCCSc1ccccc1OC(C)=O,CHEMBL144658,nM,34000.0,uM,34.0
C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,CHEMBL19286,nM,2000.0,uM,2.0
CCCCCCC[Se]c1ccccc1OC(C)=O,CHEMBL342799,nM,12000.0,uM,12.0
CCCCC#CCSc1ccccc1OC(=O)CBr,CHEMBL144547,nM,26000.0,uM,26.0
CCCCCCCSc1ccccc1OC(C)=O,CHEMBL143339,nM,2000.0,uM,2.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1,CHEMBL328003,nM,110.0,uM,0.11
CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL420987,nM,2.8,uM,0.0028
CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,CHEMBL416542,nM,22000.0,uM,22.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122,nM,530.0,uM,0.53
CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,CHEMBL330516,nM,61.0,uM,0.061
CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,CHEMBL42485,nM,2.1,uM,0.0021
CCCCC#CCSc1ccccc1OC(C)=O,CHEMBL345018,nM,800.0,uM,0.8
CCSc1ccccc1OC(C)=O,CHEMBL342317,nM,200000.0,uM,200.0
CCCCCC#CCSc1ccccc1OC(C)=O,CHEMBL357380,nM,7000.0,uM,7.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,CHEMBL92154,nM,1.1,uM,0.0011
CC(=O)Oc1ccccc1SCCc1ccccc1,CHEMBL145029,nM,100000.0,uM,100.0
CC(=O)Oc1ccccc1SCCCCCBr,CHEMBL358309,nM,9500.0,uM,9.5
CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)C1O,CHEMBL328521,nM,530.0,uM,0.53
CCCCCSc1ccccc1OC(C)=O,CHEMBL144806,nM,5000.0,uM,5.0
CC(=O)Oc1ccccc1SCCCCCCBr,CHEMBL144533,nM,12000.0,uM,12.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,49.0,uM,0.049
CSc1ccccc1OC(C)=O,CHEMBL145364,nM,250000.0,uM,250.0
CSc1ccccc1OC(=O)CBr,CHEMBL146441,nM,510000.0,uM,510.0
CCCSc1ccccc1OC(C)=O,CHEMBL358097,nM,66000.0,uM,66.0
CCCC/C=C/CSc1ccccc1OC(C)=O,CHEMBL356794,nM,11000.0,uM,11.0
CCCC#CCSc1ccccc1OC(C)=O,CHEMBL144920,nM,3000.0,uM,3.0
CCCCCCSc1ccccc1OC(C)=O,CHEMBL144218,nM,3500.0,uM,3.5
CC(=O)Oc1ccccc1SCCCCCCI,CHEMBL145180,nM,10000.0,uM,10.0
CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,nM,62500.0,uM,62.5
CSc1ccccc1OC(=O)CCl,CHEMBL144281,nM,360000.0,uM,360.0
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,CHEMBL19299,nM,13500.0,uM,13.5
C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,CHEMBL441414,nM,390.0,uM,0.39
C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,CHEMBL441414,nM,300.0,uM,0.3
CSc1ccccc1OC(=O)C(F)(F)F,CHEMBL144913,nM,260000.0,uM,260.0
CC(=O)Oc1ccccc1SCc1ccccc1,CHEMBL145220,nM,250000.0,uM,250.0
CCCC#CCCSc1ccccc1OC(C)=O,CHEMBL145412,nM,6500.0,uM,6.5
CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,CHEMBL92485,nM,96.0,uM,0.096
CC(=O)Oc1ccccc1SCCCCCC(=O)O,CHEMBL145071,nM,50000.0,uM,50.0
CC#CCSc1ccccc1OC(C)=O,CHEMBL144232,nM,20000.0,uM,20.0
CCC#CCSc1ccccc1OC(C)=O,CHEMBL145727,nM,5000.0,uM,5.0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1,CHEMBL90988,nM,12.0,uM,0.012
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,CHEMBL18264,nM,230.0,uM,0.23
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,CHEMBL18264,nM,480.0,uM,0.48
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,730.0,uM,0.73
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,440.0,uM,0.44
CC(=O)OCCCCCSc1ccccc1OC(C)=O,CHEMBL146005,nM,50000.0,uM,50.0
C#CCSc1ccccc1OC(C)=O,CHEMBL143113,nM,25000.0,uM,25.0
CCCCOCCSc1ccccc1OC(C)=O,CHEMBL145247,nM,7000.0,uM,7.0
CCCCC#CC(C)Sc1ccccc1OC(C)=O,CHEMBL144515,nM,7000.0,uM,7.0
COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,CHEMBL347187,nM,130.0,uM,0.13
COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1,CHEMBL154839,nM,470.0,uM,0.47
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL324509,nM,4.0,uM,0.004
O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,CHEMBL422530,nM,340.0,uM,0.34
O=C(NNc1ccc(Cl)cc1)c1ccccc1,CHEMBL347267,nM,530.0,uM,0.53
Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL331148,nM,16.0,uM,0.016
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,CHEMBL117708,nM,187.0,uM,0.187
Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL116343,nM,51.0,uM,0.051
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,CHEMBL156256,nM,620.0,uM,0.62
COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,CHEMBL155887,nM,1240.0,uM,1.24
CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,CHEMBL326577,nM,36.0,uM,0.036
Cc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,CHEMBL324957,nM,144.0,uM,0.144
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1,CHEMBL117528,nM,15.0,uM,0.015
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL324312,nM,2.0,uM,0.002
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL324312,nM,27.0,nM,27.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1,CHEMBL418859,nM,14.0,uM,0.014
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)cc2)cc1,CHEMBL325437,nM,18.0,uM,0.018
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2Cl)cc1,CHEMBL116252,nM,43.0,uM,0.043
Cc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1,CHEMBL154373,nM,10.0,uM,0.01
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccncc2)cc1,CHEMBL116365,nM,10000.0,uM,10.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)CCO3)cc1,CHEMBL325894,nM,9.0,uM,0.009
O=C(NNc1ccccc1)c1ccc(Cl)cc1,CHEMBL346470,nM,330.0,uM,0.33
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,CHEMBL327150,nM,7.0,uM,0.007
CCN(CC)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL420869,nM,80.0,uM,0.08
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(Cl)cc(Cl)c2)cc1,CHEMBL419407,nM,2.0,uM,0.002
COc1cc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)ccc1F,CHEMBL116683,nM,8.0,uM,0.008
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122,nM,12.0,uM,0.012
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122,nM,280.0,nM,280.0
CS(=O)(=O)c1ccc(-c2cnc(C(=O)c3ccccc3)n2-c2ccc(F)cc2)cc1,CHEMBL331278,nM,30.0,uM,0.03
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2F)cc1,CHEMBL117650,nM,28.0,uM,0.028
CCCc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL117852,nM,100.0,uM,0.1
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,CHEMBL155675,nM,1560.0,uM,1.56
CSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL115410,nM,11.0,uM,0.011
CCOc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,CHEMBL118962,nM,274.0,uM,0.274
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(F)C3)cc1,CHEMBL347688,nM,2100.0,uM,2.1
CCCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL442018,nM,10000.0,uM,10.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1C,CHEMBL118081,nM,13.0,uM,0.013
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cc(F)cc(F)c2)cc1,CHEMBL324580,nM,75.0,uM,0.075
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(N(O)C(C)=O)C3)cc1,CHEMBL346697,nM,2400.0,uM,2.4
COc1ccc(NNC(=O)c2ccccc2)cc1,CHEMBL347198,nM,180.0,uM,0.18
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,CHEMBL118064,nM,9.0,uM,0.009
CS(=O)(=O)c1ccc(-c2cnc(C#N)n2-c2ccc(F)cc2)cc1,CHEMBL117146,nM,51.0,uM,0.051
c1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,CHEMBL348390,nM,170.0,uM,0.17
COc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCC(O)C3)cc1,CHEMBL157129,nM,460.0,uM,0.46
COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1C,CHEMBL326097,nM,15.0,uM,0.015
CC1Cc2cc(-c3c(Cl)ncn3-c3ccc(S(C)(=O)=O)cc3)ccc2O1,CHEMBL324275,nM,74.0,uM,0.074
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCC3)cc1,CHEMBL157616,nM,2590.0,uM,2.59
CS(=O)(=O)c1ccc(-c2cnc(Br)n2-c2ccc(F)cc2)cc1,CHEMBL324093,nM,48.0,uM,0.048
Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL325298,nM,6.0,uM,0.006
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,CHEMBL117295,nM,8.0,uM,0.008
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(F)c2)cc1,CHEMBL119852,nM,65.0,uM,0.065
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL332725,nM,25.0,uM,0.025
Cc1ccc(NNC(=O)c2ccccc2)cc1,CHEMBL157950,nM,330.0,uM,0.33
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,9.0,uM,0.009
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,640.0,nM,640.0
CS(=O)(=O)c1ccc(-c2cnc(Cl)n2-c2ccc(F)cc2)cc1,CHEMBL114783,nM,14.0,uM,0.014
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OC(F)(F)F)cc2)cc1,CHEMBL324472,nM,10000.0,uM,10.0
c1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,CHEMBL433892,nM,570.0,uM,0.57
Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,CHEMBL155658,nM,140.0,uM,0.14
Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,CHEMBL154589,nM,10000.0,uM,10.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL118,nM,79.0,uM,0.079
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL118,nM,600.0,nM,600.0
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)nc2)cc1,CHEMBL117306,nM,42.0,uM,0.042
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,CHEMBL435381,nM,5.0,uM,0.005
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,CHEMBL435381,nM,66.0,nM,66.0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,CHEMBL115979,nM,5.0,uM,0.005
c1ccc(-c2nn(-c3ccccc3)c3c2CCC3)cc1,CHEMBL349310,nM,6200.0,uM,6.2
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL117862,nM,4.0,uM,0.004
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL117862,nM,156.0,nM,156.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2F)cc1,CHEMBL115752,nM,7.0,uM,0.007
COc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1F,CHEMBL324923,nM,16.0,uM,0.016
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,CHEMBL117947,nM,20.0,uM,0.02
CCSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL117547,nM,53.0,uM,0.053
COc1c(Cl)cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,CHEMBL116016,nM,7.0,uM,0.007
Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,CHEMBL116253,nM,284.0,uM,0.284
Cc1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCCC3)cc1,CHEMBL157886,nM,640.0,uM,0.64
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2)cc1,CHEMBL331135,nM,123.0,uM,0.123
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL333651,nM,11.0,uM,0.011
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cccc(Cl)c2Cl)cc1,CHEMBL324826,nM,6.0,uM,0.006
Cc1cc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)ccc1Cl,CHEMBL326291,nM,11.0,uM,0.011
CN(C)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,CHEMBL324048,nM,27.0,uM,0.027
NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1,CHEMBL326270,nM,18.0,uM,0.018
Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL332251,nM,3.0,uM,0.003
CC(C)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL117855,nM,39.0,uM,0.039
O=C(NNc1ccccc1)c1ccccc1,CHEMBL444539,nM,10000.0,uM,10.0
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,CHEMBL326335,nM,6.0,uM,0.006
CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,CHEMBL117917,nM,7.0,uM,0.007
Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)n1,CHEMBL320961,nM,2900.0,uM,2.9
Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,CHEMBL110574,nM,9600.0,uM,9.6
Cc1ncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)s1,CHEMBL320926,nM,430.0,uM,0.43
Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,CHEMBL110660,nM,410.0,uM,0.41
CC(O)CN1c2ccccc2Sc2ccccc21,CHEMBL151658,nM,5000.0,uM,5.0
Cc1nc(C2CCCCC2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL161677,nM,70.0,uM,0.07
COc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,CHEMBL320118,nM,37600.0,uM,37.6
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc3c(c2)OCO3)cc1,CHEMBL296447,nM,280.0,uM,0.28
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1,CHEMBL421417,nM,470.0,uM,0.47
NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1,CHEMBL321156,nM,70.0,uM,0.07
Cc1ccsc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,CHEMBL110876,nM,1100.0,uM,1.1
CS(=O)(=O)c1ccc(-n2cc(C(F)F)nc2-c2cccnc2)cc1,CHEMBL322720,nM,20700.0,uM,20.7
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc3ccccc3cn2)cc1,CHEMBL108978,nM,1200.0,uM,1.2
Cc1nc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL350549,nM,90.0,uM,0.09
Cc1nc(-c2ccc(F)cc2)c(-c2ccc(S(N)(=O)=O)cc2)o1,CHEMBL290192,nM,24.0,uM,0.024
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,CHEMBL290031,nM,70.0,uM,0.07
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,2400.0,uM,2.4
NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1,CHEMBL106023,nM,340.0,uM,0.34
Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cs1,CHEMBL109143,nM,520.0,uM,0.52
Cc1cccnc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,CHEMBL321016,nM,1540.0,uM,1.54
CC(C)(Oc1ccc(Cl)cc1)C(=O)NCCCN1c2ccccc2Sc2ccccc21,CHEMBL359113,nM,1300.0,uM,1.3
NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,CHEMBL108452,nM,440.0,uM,0.44
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1,CHEMBL42225,nM,130.0,uM,0.13
Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL158493,nM,30.0,uM,0.03
Cc1nc(C2CCCC2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL350815,nM,18000.0,uM,18.0
Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)s2)o1,CHEMBL158509,nM,1200.0,uM,1.2
Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1,CHEMBL350422,nM,20.0,uM,0.02
CNS(=O)(=O)c1ccc(-c2oc(C)nc2C2CCCCC2)cc1,CHEMBL161793,nM,3100.0,uM,3.1
Cc1ccccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,CHEMBL44466,nM,790.0,uM,0.79
CCc1nc(C2CCCCC2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL161590,nM,270.0,uM,0.27
Cc1ccnc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,CHEMBL321216,nM,530.0,uM,0.53
CC(C)(COc1ccc(Br)cc1)C(=O)NCCCN1c2ccccc2Sc2ccccc21,CHEMBL147074,nM,21000.0,uM,21.0
CC(S)CN1c2ccccc2Sc2ccccc21,CHEMBL149032,nM,4000.0,uM,4.0
Cc1csc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1,CHEMBL109017,nM,110.0,uM,0.11
Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cn1,CHEMBL108936,nM,290.0,uM,0.29
Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,CHEMBL322136,nM,1800.0,uM,1.8
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2nccc3ccccc23)cc1,CHEMBL106192,nM,1700.0,uM,1.7
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1,CHEMBL110382,nM,26.0,uM,0.026
Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,CHEMBL348041,nM,40.0,uM,0.04
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cnc3ccccc3c2)cc1,CHEMBL110446,nM,630.0,uM,0.63
CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,CHEMBL325755,nM,1690.0,uM,1.69
